Accountor,Bank Account From,Bank Account To,Category,Due Day,Name,Monthly Amount
Alice,Income,Alice Primary,Paycheck,15,Paycheck,"$1,600.00"
Alice,Income,Alice Primary,Paycheck,30,Paycheck,"$1,600.00"
Alice,Alice Primary,Alice Credit,Credit Card,29,Credit Card Bill,$682.00
Alice,Alice Primary,Joint Primary,Transfer,22,Joint Contribution,$650.00
Alice,Alice Primary,Joint Primary,Transfer,7,Joint Contribution,$650.00
Joint,Joint Primary,Joint Spending,Transfer,Monday,Groceries,$300..
Bob,Income,Bob Primary,Paycheck,Monday,Paycheck,$1200.00
Bob,Bob Primary,Bob Credit,Transfer,Friday,Credit Card Bill,$280.00
Bob,Bob Primary,Joint Primary,Transfer,Tuesday,Joint Contribution,$900.00
Alice,Alice Primary,Alice Spending,Transfer,1,Coffee and Shopping,500
